edge_id,road_name,geometry,road_type,speed,capacity,traffic_density
1279566180___,Yelahanka Road,"LINESTRING (781283.2829140348 1449121.1146137335, 781257.9933720542 1449149.2166595545, 781184.6334706801 1449219.600284163)",primary,80.0,7200,0.0
1148461544___,Yelahanka Road,"LINESTRING (781307.0038043761 1449118.9780477656, 781318.783156204 1449107.8406652207)",primary,100.0,5400,0.0
"[1219692380, 237186598]___",Bhagyada Bagilu Road,"LINESTRING (781307.0038043761 1449118.9780477656, 781316.2532419789 1449124.9069577411, 781324.6906286678 1449130.661482693, 781327.1956688773 1449133.9860975791, 781368.8190748845 1449189.0998883222, 781389.7661402066 1449216.1489851116, 781396.3842466588 1449224.7077401325, 781434.0276438866 1449271.1129001623)",secondary,40.0,5400,0.0
148319042___,Kumara Krupa Road,"LINESTRING (779806.7673311969 1436998.0778682174, 779826.3064105569 1437026.0943189955)",tertiary,30.0,3600,0.0
148319042___,Kumara Krupa Road,"LINESTRING (779806.7673311969 1436998.0778682174, 779794.3330062487 1436979.2106683583, 779761.9481721127 1436927.9170975771)",tertiary,30.0,3600,0.0
148319042___,Kumara Krupa Road,"LINESTRING (779826.3064105569 1437026.0943189955, 779806.7673311969 1436998.0778682174)",tertiary,30.0,3600,0.0
148319042___,Kumara Krupa Road,"LINESTRING (779761.9481721127 1436927.9170975771, 779732.7827662777 1436881.3719416352)",tertiary,30.0,3600,0.0
148319042___,Kumara Krupa Road,"LINESTRING (779761.9481721127 1436927.9170975771, 779794.3330062487 1436979.2106683583, 779806.7673311969 1436998.0778682174)",tertiary,30.0,3600,0.0
138980166___,Bhaskaran Road,"LINESTRING (784284.529643712 1436227.3267790603, 784293.9633490378 1436242.1693271736, 784307.6144438267 1436250.1806078996, 784352.1178280695 1436265.760113966, 784368.3906811834 1436272.1931996387, 784382.4039673714 1436282.9868843935, 784390.6669120791 1436291.3191982282, 784401.1008628921 1436307.068776881, 784410.5474714458 1436326.9816971158, 784467.2464716814 1436473.0392656855, 784476.1336835157 1436491.385569209, 784481.20174784 1436498.954423238, 784496.6030382139 1436515.1647728956, 784515.7263253287 1436532.5979521456, 784535.6383979972 1436554.6112904658, 784541.9545564668 1436562.2151459085, 784547.4159628095 1436568.481774017)",secondary,40.0,3600,0.0
1182461451___,Kensington Road,"LINESTRING (784493.8240453579 1437182.8951339028, 784493.7326330733 1437190.72087898, 784493.328963209 1437199.3515400204)",secondary,40.0,3600,0.0
1182461451___,Kensington Road,"LINESTRING (784493.8240453579 1437182.8951339028, 784489.8616725808 1437091.1260351406, 784489.2571424099 1437077.0827027494, 784489.120692187 1437019.6708483126)",secondary,40.0,3600,0.0
1182461451___,Kensington Road,"LINESTRING (784493.328963209 1437199.3515400204, 784493.7326330733 1437190.72087898, 784493.8240453579 1437182.8951339028)",secondary,40.0,3600,0.0
